"id","district_id","name","created_at","updated_at"
"256","16","Mikongo","2019-02-12 07:06:15","2019-02-12 07:06:15"
"257","16","Maiwa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"258","16","Masanje","2019-02-12 07:06:15","2019-02-12 07:06:15"
"259","16","Katuli North","2019-02-12 07:06:15","2019-02-12 07:06:15"
"260","16","Katuli South","2019-02-12 07:06:15","2019-02-12 07:06:15"
"261","16","Nlimba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"262","16","Chipunga","2019-02-12 07:06:15","2019-02-12 07:06:15"
"263","16","Chilipa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"264","16","Katemba-Mtimabi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"265","16","Koche","2019-02-12 07:06:15","2019-02-12 07:06:15"
"266","16","Thundu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"267","16","Mtumbwasi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"268","16","Mwasa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"269","16","Chigawe","2019-02-12 07:06:15","2019-02-12 07:06:15"
"270","16","Chikole","2019-02-12 07:06:15","2019-02-12 07:06:15"
"271","16","Kalungu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"272","16","Mikomwa","2019-02-12 07:06:15","2019-02-12 07:06:15"
"273","16","Nkanamwano","2019-02-12 07:06:15","2019-02-12 07:06:15"
"274","16","Msikisi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"275","16","Msukamwere","2019-02-12 07:06:15","2019-02-12 07:06:15"
"276","16","Ndege","2019-02-12 07:06:15","2019-02-12 07:06:15"
"277","16","Nkungulu","2019-02-12 07:06:15","2019-02-12 07:06:15"
"278","16","Mpale","2019-02-12 07:06:15","2019-02-12 07:06:15"
"279","16","Mvumba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"280","16","Malembo","2019-02-12 07:06:15","2019-02-12 07:06:15"
"281","16","Monkey Bay","2019-02-12 07:06:15","2019-02-12 07:06:15"
"282","16","Nkope","2019-02-12 07:06:15","2019-02-12 07:06:15"
"283","16","Namavi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"284","16","Mbwazi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"285","16","Majuni","2019-02-12 07:06:15","2019-02-12 07:06:15"
"286","16","Mandimba","2019-02-12 07:06:15","2019-02-12 07:06:15"
"287","17","Shire","2019-02-12 07:06:15","2019-02-12 07:06:15"
"288","17","Nkhonde","2019-02-12 07:06:15","2019-02-12 07:06:15"
"289","17","Bwaila","2019-02-12 07:06:15","2019-02-12 07:06:15"
"290","17","Liwawadzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"291","17","Liviridzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"292","17","Mulunguzi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"293","17","Utale","2019-02-12 07:06:15","2019-02-12 07:06:15"
"294","17","Chimwalire","2019-02-12 07:06:15","2019-02-12 07:06:15"
"295","18","Nyambi","2019-02-12 07:06:15","2019-02-12 07:06:15"
"296","18","Mpiri","2019-02-12 07:06:15","2019-02-12 07:06:15"
"297","18","Nsanama","2019-02-12 07:06:15","2019-02-12 07:06:15"
"298","18","Mbonechera","2019-02-12 07:06:15","2019-02-12 07:06:15"
